metric,mean,std
pauc_tpr80,0.6878960296635179,0.058681462388514516
auprc,0.7747790099927047,0.050059848718648846
auroc,0.8546690929523166,0.030889486772614206
sensitivity,0.8971035753426587,0.04460769293226799
specificity,0.7279630906773704,0.043183579186829774
precision,0.748944695191921,0.02805407493473193
f1,0.8156950680279008,0.024829082893955575
fnr,0.1028964246573412,0.044607692932268
brier,0.15570382625243034,0.0321367040971059
ece,0.11101212972626762,0.030752947503963946
